ProviderID,ProviderName,CourseName,COURSEID,YEAR,UNIT,UNITPRICE,UNITCOUNT,CURRENCY,TOTALANNUALFEE,TOTALCOURSEFEE,FeeLink
SN_C_0001,Asia Pacific International College (APIC),Bachelor of Information Technology,SN_C_0001,2025,,1600.00,,AUD,11600.00,38400.00,
SN_C_0001,Asia Pacific International College (APIC),Bachelor of Information Technology (Computer Networks and Security),SN_C_0002,2025,,1600.00,,AUD,11600.00,38400.00,
SN_C_0001,Asia Pacific International College (APIC),Graduate Certificate in Business Management (GradCertBus),SN_C_0003,2025,,2700.00,,AUD,16200.00,10800.00,
SN_C_0001,Asia Pacific International College (APIC),Graduate Certificate in Information Technology,SN_C_0004,2025,,2700.00,,AUD,16200.00,8100.00,
SN_C_0001,Asia Pacific International College (APIC),Master of Information Technology,SN_C_0005,2025,,2700.00,,AUD,16200.00,32400.00,
SN_C_0001,Asia Pacific International College (APIC),Master of Information Technology (Artificial Intelligence),SN_C_0006,2025,,2700.00,,AUD,16200.00,32400.00,
SN_C_0001,Asia Pacific International College (APIC),Master of Information Technology (Cyber Security),SN_C_0007,2025,,2700.00,,AUD,16200.00,32400.00,
SN_C_0001,Asia Pacific International College (APIC),Master of Information Technology (Enterprise Networks),SN_C_0008,2025,,2700.00,,AUD,16200.00,32400.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Bachelor of Counselling,SN_C_0009,2025,,3372.00,,AUD,26976.00,80928.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Bachelor of Criminology and Justice,SN_C_0010,2025,,3372.00,,AUD,26976.00,80928.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Bachelor of Psychological Science,SN_C_0011,2025,,3372.00,,AUD,26976.00,80928.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Bachelor of Psychological Science (Honours),SN_C_0012,2025,,7033.00,,AUD,21099.00,42198.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Bachelor of Psychological Science and Counselling,SN_C_0013,2025,,3372.00,,AUD,26976.00,80928.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Bachelor of Psychological Science and Criminology,SN_C_0014,2025,,3372.00,,AUD,26976.00,80928.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Bachelor of Social Work,SN_C_0015,2025,,"26 x $3,372
2 x $10,116",,AUD,26976.00,107904.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Diploma of Counselling Skills,SN_C_0016,2025,,3372.00,,AUD,26976.00,26976.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Graduate Certificate in Human Services,SN_C_0017,2025,,3489.00,,AUD,20934.00,13956.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Graduate Certificate in Psychological Science,SN_C_0018,2025,,3489.00,,AUD,20934.00,13956.00,
SN_C_0009,Australian College of Applied Professions (ACAP),Graduate Diploma of Counselling,SN_C_0019,2025,,,,AUD,,,Change to Graduate Certificate of Counselling
