PROVIDERID,ProviderName,INTAKEID,YEAR,COMMENCEMENTDATE,ENDDATE,ORIENTATIONDATE,APPLICATIONDEADLINE,ISOPEN,TENTATIVE
SN_P_0030,Asia Pacific International College (APIC),SN_I_0001,2025,7/28/2025,8/22/2025,8/22/2025,,YES,NO
SN_P_0030,Asia Pacific International College (APIC),SN_I_0002,2025,9/29/2025,12/19/2025,12/19/2025,,YES,NO
SN_P_0030,Asia Pacific International College (APIC),SN_I_0003,2025,11/10/2025,12/19/2025,12/19/2025,,YES,NO
SN_P_0040,Charles Darwin University,SN_I_0004,2025,7/14/2025,11/30/2025,11/30/2025,,YES,NO
SN_P_0040,Charles Darwin University,SN_I_0005,2025,7/21/2025,11/30/2025,11/30/2025,,YES,NO
SN_P_0040,Charles Darwin University,SN_I_0006,2025,11/17/2025,2/13/2026,2/13/2026,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0007,2025,7/13/2025,8/8/2025,8/8/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0008,2025,7/13/2025,8/8/2025,8/8/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0009,2025,7/13/2025,8/8/2025,8/8/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0010,2025,7/13/2025,8/8/2025,8/8/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0011,2025,7/14/2025,10/31/2025,10/31/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0012,2025,7/14/2025,10/31/2025,10/31/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0013,2025,7/14/2025,10/31/2025,10/31/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0014,2025,7/14/2025,10/31/2025,10/31/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0015,2025,8/25/2025,10/17/2025,10/17/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0016,2025,9/1/2025,12/19/2025,12/19/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0017,2025,9/1/2025,12/19/2025,12/19/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0018,2025,9/8/2025,10/3/2025,10/3/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0019,2025,9/8/2025,10/3/2025,10/3/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0020,2025,9/8/2025,10/3/2025,10/3/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0021,2025,9/8/2025,10/3/2025,10/3/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0022,2025,10/13/2025,11/7/2025,11/7/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0023,2025,10/13/2025,11/7/2025,11/7/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0024,2025,10/13/2025,11/7/2025,11/7/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0025,2025,10/13/2025,11/7/2025,11/7/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0026,2025,10/20/2025,12/12/2025,12/12/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0027,2025,11/16/2025,12/12/2025,12/12/2025,,YES,NO
SN_P_0002,Charles Sturt University,SN_I_0028,2025,11/16/2025,12/12/2025,12/12/2025,,YES,NO
